prompt_index,attempt_index,attempt_start_ns,submit_ns,elapsed_ms,prompt_text,typed_text,match,backspace_count,typed_char_count,keypress_count,rate_now_hz,rate_median_hz_recent,rate_min_hz_recent,rate_max_hz_recent
0,1,14446706666,25070608000,10623.90,5ld7hwcj,5ld7hwcj,YES,0,8,9,207.38,205.96,186.39,207.38
1,1,25071103583,35400416916,10329.31,adq09lva,adq09lva,YES,0,8,9,205.96,205.96,187.06,206.00
2,1,35401982208,47848207916,12446.23,vvxmk6po,vvxmk6po,YES,0,8,9,184.49,206.01,184.49,206.58
3,1,47848552708,58083610666,10235.06,xclw8r43,xclw8r43,YES,0,8,9,186.06,206.96,186.06,208.49
4,1,58084577333,68131430708,10046.85,hlrd98g3,hlrd98g3,YES,0,8,9,205.96,205.96,185.81,206.96
5,1,68133152750,79838728041,11705.58,pvx4n1yg,pvx4n1yg,YES,0,8,9,208.18,205.96,185.26,208.18
6,1,79838892750,91547324666,11708.43,f7h1mpe8,f7h1mpe8,YES,0,8,9,186.47,205.00,186.47,206.97
7,1,91547783000,105791954375,14244.17,f69g13e3,f69g13e3,YES,0,8,9,205.96,205.96,186.43,205.96
8,1,105792342166,117627111791,11834.77,x11ylqcn,x11ylqcn,YES,0,8,9,187.06,206.54,187.06,206.88
9,1,117627487166,129571134125,11943.65,kz4n0osd,kz4n0osd,YES,0,8,9,185.51,205.96,185.51,207.07
